source,target,relation
article_43_para_5,article_43,part_of
article_43,article_43_para_6,contains
article_43_para_6,article_43,part_of
article_44,article_44_para_1,contains
article_44_para_1,article_44,part_of
article_44,article_44_para_2,contains
article_44_para_2,article_44,part_of
article_44,article_44_para_3,contains
article_44_para_3,article_44,part_of
article_45,article_45_para_1,contains
article_45_para_1,article_45,part_of
article_45,article_45_para_2,contains
article_45_para_2,article_45,part_of
article_45,article_45_para_3,contains
article_45_para_3,article_45,part_of
article_45,article_45_para_4,contains
article_45_para_4,article_45,part_of
article_46,article_46_para_1,contains
article_46_para_1,article_46,part_of
article_46,article_46_para_2,contains
article_46_para_2,article_46,part_of
article_46,article_46_para_3,contains
article_46_para_3,article_46,part_of
article_46,article_46_para_4,contains
article_46_para_4,article_46,part_of
article_46,article_46_para_5,contains
article_46_para_5,article_46,part_of
article_46,article_46_para_6,contains
article_46_para_6,article_46,part_of
article_46,article_46_para_7,contains
article_46_para_7,article_46,part_of
article_47,article_47_para_1,contains
article_47_para_1,article_47,part_of
article_47,article_47_para_2,contains
article_47_para_2,article_47,part_of
article_47,article_47_para_3,contains
article_47_para_3,article_47,part_of
article_47,article_47_para_4,contains
article_47_para_4,article_47,part_of
article_47,article_47_para_5,contains
article_47_para_5,article_47,part_of
article_48,article_48_para_1,contains
article_48_para_1,article_48,part_of
article_48,article_48_para_2,contains
article_48_para_2,article_48,part_of
article_48,article_48_para_3,contains
article_48_para_3,article_48,part_of
article_48,article_48_para_4,contains
article_48_para_4,article_48,part_of
article_48,article_48_para_5,contains
article_48_para_5,article_48,part_of
article_49,article_49_para_1,contains
article_49_para_1,article_49,part_of
article_49,article_49_para_2,contains
article_49_para_2,article_49,part_of
article_49,article_49_para_3,contains
article_49_para_3,article_49,part_of
article_49,article_49_para_4,contains
article_49_para_4,article_49,part_of
article_49,article_49_para_5,contains
article_49_para_5,article_49,part_of
article_50,article_50_para_1,contains
article_50_para_1,article_50,part_of
article_50,article_50_para_2,contains
article_50_para_2,article_50,part_of
article_50,article_50_para_3,contains
article_50_para_3,article_50,part_of
article_50,article_50_para_4,contains
article_50_para_4,article_50,part_of
article_50,article_50_para_5,contains
article_50_para_5,article_50,part_of
article_50,article_50_para_6,contains
article_50_para_6,article_50,part_of
article_50,article_50_para_7,contains
article_50_para_7,article_50,part_of
article_51,article_51_para_1,contains
article_51_para_1,article_51,part_of
article_51,article_51_para_2,contains
article_51_para_2,article_51,part_of
article_51,article_51_para_1025,contains
article_51_para_1025,article_51,part_of
article_52,article_52_para_1,contains
article_52_para_1,article_52,part_of
article_52,article_52_para_2,contains
article_52_para_2,article_52,part_of
article_52,article_52_para_3,contains
article_52_para_3,article_52,part_of
article_52,article_52_para_4,contains
article_52_para_4,article_52,part_of
article_52,article_52_para_5,contains
article_52_para_5,article_52,part_of
article_52,article_52_para_6,contains
article_52_para_6,article_52,part_of
article_53,article_53_para_1,contains
article_53_para_1,article_53,part_of
article_53,article_53_para_2,contains
article_53_para_2,article_53,part_of
article_53,article_53_para_3,contains
article_53_para_3,article_53,part_of
article_53,article_53_para_4,contains
article_53_para_4,article_53,part_of
article_53,article_53_para_5,contains
article_53_para_5,article_53,part_of
article_53,article_53_para_6,contains
article_53_para_6,article_53,part_of
article_53,article_53_para_7,contains
article_53_para_7,article_53,part_of
article_54,article_54_para_1,contains
article_54_para_1,article_54,part_of
article_54,article_54_para_2,contains
article_54_para_2,article_54,part_of
article_54,article_54_para_3,contains
article_54_para_3,article_54,part_of
article_54,article_54_para_4,contains
article_54_para_4,article_54,part_of
article_54,article_54_para_5,contains
article_54_para_5,article_54,part_of
article_54,article_54_para_6,contains
article_54_para_6,article_54,part_of
article_55,article_55_para_1,contains
article_55_para_1,article_55,part_of
article_55,article_55_para_2,contains
article_55_para_2,article_55,part_of
article_55,article_55_para_3,contains
article_55_para_3,article_55,part_of
article_56,article_56_para_1,contains
article_56_para_1,article_56,part_of
article_56,article_56_para_2,contains
article_56_para_2,article_56,part_of
article_56,article_56_para_3,contains
article_56_para_3,article_56,part_of
article_56,article_56_para_4,contains
article_56_para_4,article_56,part_of
article_56,article_56_para_5,contains
article_56_para_5,article_56,part_of
article_56,article_56_para_6,contains
article_56_para_6,article_56,part_of
article_56,article_56_para_7,contains
article_56_para_7,article_56,part_of
article_56,article_56_para_8,contains
article_56_para_8,article_56,part_of
article_56,article_56_para_9,contains
article_56_para_9,article_56,part_of
article_57,article_57_para_1,contains
article_57_para_1,article_57,part_of
article_57,article_57_para_2,contains
article_57_para_2,article_57,part_of
article_57,article_57_para_3,contains
article_57_para_3,article_57,part_of
article_57,article_57_para_4,contains
article_57_para_4,article_57,part_of
article_57,article_57_para_5,contains
article_57_para_5,article_57,part_of
article_57,article_57_para_6,contains
article_57_para_6,article_57,part_of
article_57,article_57_para_7,contains
article_57_para_7,article_57,part_of
article_57,article_57_para_8,contains
article_57_para_8,article_57,part_of
article_57,article_57_para_9,contains
article_57_para_9,article_57,part_of
article_57,article_57_para_10,contains
article_57_para_10,article_57,part_of
article_57,article_57_para_11,contains
article_57_para_11,article_57,part_of
article_57,article_57_para_12,contains
article_57_para_12,article_57,part_of
article_57,article_57_para_13,contains
article_57_para_13,article_57,part_of
article_57,article_57_para_14,contains
article_57_para_14,article_57,part_of
article_57,article_57_para_15,contains
article_57_para_15,article_57,part_of
article_57,article_57_para_16,contains
article_57_para_16,article_57,part_of
article_57,article_57_para_17,contains
article_57_para_17,article_57,part_of
article_58,article_58_para_1,contains
article_58_para_1,article_58,part_of
article_58,article_58_para_2,contains
article_58_para_2,article_58,part_of
article_58,article_58_para_3,contains
article_58_para_3,article_58,part_of
article_58,article_58_para_4,contains
article_58_para_4,article_58,part_of
article_59,article_59_para_1,contains
article_59_para_1,article_59,part_of
article_59,article_59_para_2,contains
article_59_para_2,article_59,part_of
article_59,article_59_para_3,contains
article_59_para_3,article_59,part_of
article_60,article_60_para_1,contains
article_60_para_1,article_60,part_of
article_60,article_60_para_2,contains
article_60_para_2,article_60,part_of
article_60,article_60_para_3,contains
article_60_para_3,article_60,part_of
article_60,article_60_para_4,contains
article_60_para_4,article_60,part_of
article_60,article_60_para_5,contains
article_60_para_5,article_60,part_of
article_60,article_60_para_6,contains
article_60_para_6,article_60,part_of
article_60,article_60_para_7,contains
article_60_para_7,article_60,part_of
article_60,article_60_para_8,contains
article_60_para_8,article_60,part_of
article_60,article_60_para_9,contains
article_60_para_9,article_60,part_of
article_61,article_61_para_1,contains
article_61_para_1,article_61,part_of
article_61,article_61_para_2,contains
article_61_para_2,article_61,part_of
article_62,article_62_para_1,contains
article_62_para_1,article_62,part_of
article_62,article_62_para_2,contains
article_62_para_2,article_62,part_of
article_62,article_62_para_3,contains
article_62_para_3,article_62,part_of
article_63,article_63_para_1,contains
article_63_para_1,article_63,part_of
article_63,article_63_para_2,contains
