source,target,relation
article_96,article_96_para_1,contains
article_96_para_1,article_96,part_of
article_96,article_96_para_2,contains
article_96_para_2,article_96,part_of
article_97,article_97_para_1,contains
article_97_para_1,article_97,part_of
article_97,article_97_para_2,contains
article_97_para_2,article_97,part_of
article_97,article_97_para_3,contains
article_97_para_3,article_97,part_of
article_97,article_97_para_4,contains
article_97_para_4,article_97,part_of
article_97,article_97_para_5,contains
article_97_para_5,article_97,part_of
article_97,article_97_para_6,contains
article_97_para_6,article_97,part_of
article_98,article_98_para_1,contains
article_98_para_1,article_98,part_of
article_98,article_98_para_2,contains
article_98_para_2,article_98,part_of
article_99,article_99_para_1,contains
article_99_para_1,article_99,part_of
article_99,article_99_para_2,contains
article_99_para_2,article_99,part_of
article_99,article_99_para_3,contains
article_99_para_3,article_99,part_of
article_99,article_99_para_4,contains
article_99_para_4,article_99,part_of
article_99,article_99_para_5,contains
article_99_para_5,article_99,part_of
article_99,article_99_para_6,contains
article_99_para_6,article_99,part_of
article_99,article_99_para_7,contains
article_99_para_7,article_99,part_of
article_99,article_99_para_8,contains
article_99_para_8,article_99,part_of
article_99,article_99_para_9,contains
article_99_para_9,article_99,part_of
article_99,article_99_para_10,contains
article_99_para_10,article_99,part_of
article_99,article_99_para_11,contains
article_99_para_11,article_99,part_of
article_100,article_100_para_1,contains
article_100_para_1,article_100,part_of
article_100,article_100_para_2,contains
article_100_para_2,article_100,part_of
article_100,article_100_para_3,contains
article_100_para_3,article_100,part_of
article_100,article_100_para_4,contains
article_100_para_4,article_100,part_of
article_100,article_100_para_5,contains
article_100_para_5,article_100,part_of
article_100,article_100_para_6,contains
article_100_para_6,article_100,part_of
article_100,article_100_para_7,contains
article_100_para_7,article_100,part_of
article_101,article_101_para_1,contains
article_101_para_1,article_101,part_of
article_101,article_101_para_2,contains
article_101_para_2,article_101,part_of
article_101,article_101_para_3,contains
article_101_para_3,article_101,part_of
article_101,article_101_para_4,contains
article_101_para_4,article_101,part_of
article_101,article_101_para_5,contains
article_101_para_5,article_101,part_of
article_101,article_101_para_6,contains
article_101_para_6,article_101,part_of
article_111,article_111_para_1,contains
article_111_para_1,article_111,part_of
article_111,article_111_para_2,contains
article_111_para_2,article_111,part_of
article_111,article_111_para_2030,contains
article_111_para_2030,article_111,part_of
article_112,article_112_para_1,contains
article_112_para_1,article_112,part_of
article_112,article_112_para_2,contains
article_112_para_2,article_112,part_of
article_112,article_112_para_3,contains
article_112_para_3,article_112,part_of
article_112,article_112_para_4,contains
article_112_para_4,article_112,part_of
article_112,article_112_para_5,contains
article_112_para_5,article_112,part_of
article_112,article_112_para_6,contains
article_112_para_6,article_112,part_of
article_112,article_112_para_7,contains
article_112_para_7,article_112,part_of
article_112,article_112_para_8,contains
article_112_para_8,article_112,part_of
article_112,article_112_para_9,contains
article_112_para_9,article_112,part_of
article_112,article_112_para_10,contains
article_112_para_10,article_112,part_of
article_112,article_112_para_11,contains
article_112_para_11,article_112,part_of
article_112,article_112_para_12,contains
article_112_para_12,article_112,part_of
article_112,article_112_para_13,contains
article_112_para_13,article_112,part_of
article_3,definition_1,contains
definition_1,article_3,part_of
article_3,definition_2,contains
definition_2,article_3,part_of
article_3,definition_3,contains
definition_3,article_3,part_of
article_3,definition_4,contains
definition_4,article_3,part_of
article_3,definition_5,contains
definition_5,article_3,part_of
article_3,definition_6,contains
definition_6,article_3,part_of
article_3,definition_7,contains
definition_7,article_3,part_of
article_3,definition_8,contains
definition_8,article_3,part_of
article_3,definition_9,contains
definition_9,article_3,part_of
article_3,definition_10,contains
definition_10,article_3,part_of
article_3,definition_11,contains
definition_11,article_3,part_of
article_3,definition_12,contains
definition_12,article_3,part_of
article_3,definition_13,contains
definition_13,article_3,part_of
article_3,definition_14,contains
definition_14,article_3,part_of
article_3,definition_15,contains
definition_15,article_3,part_of
article_3,definition_16,contains
definition_16,article_3,part_of
article_3,definition_17,contains
definition_17,article_3,part_of
article_3,definition_18,contains
definition_18,article_3,part_of
article_3,definition_19,contains
definition_19,article_3,part_of
article_3,definition_20,contains
definition_20,article_3,part_of
article_3,definition_21,contains
definition_21,article_3,part_of
article_3,definition_22,contains
definition_22,article_3,part_of
article_3,definition_23,contains
definition_23,article_3,part_of
article_3,definition_24,contains
definition_24,article_3,part_of
article_3,definition_25,contains
definition_25,article_3,part_of
article_3,definition_26,contains
definition_26,article_3,part_of
article_3,definition_27,contains
definition_27,article_3,part_of
article_3,definition_28,contains
definition_28,article_3,part_of
article_3,definition_29,contains
definition_29,article_3,part_of
article_3,definition_30,contains
definition_30,article_3,part_of
article_3,definition_31,contains
definition_31,article_3,part_of
article_3,definition_32,contains
definition_32,article_3,part_of
article_3,definition_33,contains
definition_33,article_3,part_of
article_3,definition_34,contains
definition_34,article_3,part_of
article_3,definition_35,contains
definition_35,article_3,part_of
article_3,definition_36,contains
definition_36,article_3,part_of
article_3,definition_37,contains
definition_37,article_3,part_of
article_3,definition_38,contains
definition_38,article_3,part_of
article_3,definition_39,contains
definition_39,article_3,part_of
article_3,definition_40,contains
definition_40,article_3,part_of
article_3,definition_41,contains
definition_41,article_3,part_of
article_3,definition_42,contains
definition_42,article_3,part_of
article_3,definition_43,contains
definition_43,article_3,part_of
article_3,definition_44,contains
definition_44,article_3,part_of
article_3,definition_46,contains
definition_46,article_3,part_of
article_3,definition_47,contains
definition_47,article_3,part_of
article_3,definition_48,contains
definition_48,article_3,part_of
article_3,definition_49,contains
definition_49,article_3,part_of
article_3,definition_50,contains
definition_50,article_3,part_of
article_3,definition_51,contains
definition_51,article_3,part_of
article_3,definition_52,contains
definition_52,article_3,part_of
article_3,definition_53,contains
definition_53,article_3,part_of
article_3,definition_54,contains
definition_54,article_3,part_of
article_3,definition_55,contains
definition_55,article_3,part_of
article_3,definition_56,contains
definition_56,article_3,part_of
article_3,definition_57,contains
definition_57,article_3,part_of
article_3,definition_59,contains
definition_59,article_3,part_of
article_3,definition_60,contains
definition_60,article_3,part_of
article_3,definition_61,contains
definition_61,article_3,part_of
article_3,definition_62,contains
definition_62,article_3,part_of
article_3,definition_63,contains
definition_63,article_3,part_of
article_3,definition_64,contains
definition_64,article_3,part_of
article_3,definition_65,contains
definition_65,article_3,part_of
article_3,definition_66,contains
definition_66,article_3,part_of
article_3,definition_67,contains
definition_67,article_3,part_of
article_3,definition_68,contains
definition_68,article_3,part_of
annex_I,annex_I_item_1,contains
annex_I_item_1,annex_I,part_of
annex_I,annex_I_item_2,contains
annex_I_item_2,annex_I,part_of
annex_I,annex_I_item_3,contains
annex_I_item_3,annex_I,part_of
annex_I,annex_I_item_4,contains
annex_I_item_4,annex_I,part_of
annex_I,annex_I_item_5,contains
annex_I_item_5,annex_I,part_of
annex_I,annex_I_item_6,contains
annex_I_item_6,annex_I,part_of
annex_I,annex_I_item_7,contains
annex_I_item_7,annex_I,part_of
annex_I,annex_I_item_8,contains
annex_I_item_8,annex_I,part_of
annex_I,annex_I_item_9,contains
annex_I_item_9,annex_I,part_of
annex_I,annex_I_item_10,contains
annex_I_item_10,annex_I,part_of
annex_I,annex_I_item_11,contains
annex_I_item_11,annex_I,part_of
annex_I,annex_I_item_12,contains
annex_I_item_12,annex_I,part_of
annex_I,annex_I_item_13,contains
annex_I_item_13,annex_I,part_of
annex_I,annex_I_item_14,contains
annex_I_item_14,annex_I,part_of
annex_I,annex_I_item_15,contains
annex_I_item_15,annex_I,part_of
annex_I,annex_I_item_16,contains
annex_I_item_16,annex_I,part_of
annex_I,annex_I_item_17,contains
annex_I_item_17,annex_I,part_of
annex_I,annex_I_item_18,contains
annex_I_item_18,annex_I,part_of
annex_I,annex_I_item_19,contains
annex_I_item_19,annex_I,part_of
annex_I,annex_I_item_20,contains
annex_I_item_20,annex_I,part_of
annex_III,annex_III_item_1,contains
annex_III_item_1,annex_III,part_of
annex_III,annex_III_item_2,contains
annex_III_item_2,annex_III,part_of
annex_III,annex_III_item_3,contains
annex_III_item_3,annex_III,part_of
annex_III,annex_III_item_4,contains
annex_III_item_4,annex_III,part_of
annex_III,annex_III_item_5,contains
annex_III_item_5,annex_III,part_of
annex_III,annex_III_item_6,contains
annex_III_item_6,annex_III,part_of
annex_III,annex_III_item_7,contains
annex_III_item_7,annex_III,part_of
annex_III,annex_III_item_8,contains
annex_III_item_8,annex_III,part_of
annex_IV,annex_IV_item_1,contains
annex_IV_item_1,annex_IV,part_of
annex_IV,annex_IV_item_2,contains
annex_IV_item_2,annex_IV,part_of
annex_IV,annex_IV_item_3,contains
annex_IV_item_3,annex_IV,part_of
annex_IV,annex_IV_item_4,contains
annex_IV_item_4,annex_IV,part_of
annex_IV,annex_IV_item_5,contains
annex_IV_item_5,annex_IV,part_of
annex_IV,annex_IV_item_6,contains
annex_IV_item_6,annex_IV,part_of
annex_IV,annex_IV_item_7,contains
annex_IV_item_7,annex_IV,part_of
annex_IV,annex_IV_item_8,contains
annex_IV_item_8,annex_IV,part_of
annex_IV,annex_IV_item_9,contains
annex_IV_item_9,annex_IV,part_of
annex_V,annex_V_item_1,contains
annex_V_item_1,annex_V,part_of
annex_V,annex_V_item_2,contains
annex_V_item_2,annex_V,part_of
annex_V,annex_V_item_3,contains
annex_V_item_3,annex_V,part_of
annex_V,annex_V_item_4,contains
annex_V_item_4,annex_V,part_of
annex_V,annex_V_item_5,contains
annex_V_item_5,annex_V,part_of
annex_V,annex_V_item_6,contains
annex_V_item_6,annex_V,part_of
annex_V,annex_V_item_7,contains
annex_V_item_7,annex_V,part_of
annex_V,annex_V_item_8,contains
annex_V_item_8,annex_V,part_of
annex_VI,annex_VI_item_1,contains
annex_VI_item_1,annex_VI,part_of
annex_VI,annex_VI_item_2,contains
annex_VI_item_2,annex_VI,part_of
annex_VI,annex_VI_item_3,contains
annex_VI_item_3,annex_VI,part_of
annex_VI,annex_VI_item_4,contains
annex_VI_item_4,annex_VI,part_of
annex_VII,annex_VII_item_1,contains
annex_VII_item_1,annex_VII,part_of
annex_VII,annex_VII_item_2,contains
annex_VII_item_2,annex_VII,part_of
annex_VII,annex_VII_item_3,contains
annex_VII_item_3,annex_VII,part_of
annex_VII,annex_VII_item_4,contains
annex_VII_item_4,annex_VII,part_of
annex_VII,annex_VII_item_5,contains
annex_VII_item_5,annex_VII,part_of
annex_VIII,annex_VIII_item_1,contains
annex_VIII_item_1,annex_VIII,part_of
annex_VIII,annex_VIII_item_2,contains
annex_VIII_item_2,annex_VIII,part_of
annex_VIII,annex_VIII_item_3,contains
annex_VIII_item_3,annex_VIII,part_of
annex_VIII,annex_VIII_item_4,contains
annex_VIII_item_4,annex_VIII,part_of
annex_VIII,annex_VIII_item_5,contains
annex_VIII_item_5,annex_VIII,part_of
annex_VIII,annex_VIII_item_6,contains
annex_VIII_item_6,annex_VIII,part_of
annex_VIII,annex_VIII_item_7,contains
annex_VIII_item_7,annex_VIII,part_of
annex_VIII,annex_VIII_item_8,contains
annex_VIII_item_8,annex_VIII,part_of
annex_VIII,annex_VIII_item_9,contains
annex_VIII_item_9,annex_VIII,part_of
annex_VIII,annex_VIII_item_10,contains
annex_VIII_item_10,annex_VIII,part_of
annex_VIII,annex_VIII_item_11,contains
annex_VIII_item_11,annex_VIII,part_of
annex_VIII,annex_VIII_item_12,contains
annex_VIII_item_12,annex_VIII,part_of
annex_VIII,annex_VIII_item_13,contains
annex_VIII_item_13,annex_VIII,part_of
annex_VIII,annex_VIII_item_1,contains
annex_VIII_item_1,annex_VIII,part_of
annex_VIII,annex_VIII_item_2,contains
annex_VIII_item_2,annex_VIII,part_of
annex_VIII,annex_VIII_item_3,contains
annex_VIII_item_3,annex_VIII,part_of
annex_VIII,annex_VIII_item_4,contains
annex_VIII_item_4,annex_VIII,part_of
annex_VIII,annex_VIII_item_5,contains
annex_VIII_item_5,annex_VIII,part_of
annex_VIII,annex_VIII_item_6,contains
annex_VIII_item_6,annex_VIII,part_of
annex_VIII,annex_VIII_item_7,contains
annex_VIII_item_7,annex_VIII,part_of
annex_VIII,annex_VIII_item_8,contains
annex_VIII_item_8,annex_VIII,part_of
annex_VIII,annex_VIII_item_9,contains
annex_VIII_item_9,annex_VIII,part_of
annex_VIII,annex_VIII_item_1,contains
annex_VIII_item_1,annex_VIII,part_of
annex_VIII,annex_VIII_item_2,contains
annex_VIII_item_2,annex_VIII,part_of
annex_VIII,annex_VIII_item_3,contains
annex_VIII_item_3,annex_VIII,part_of
annex_VIII,annex_VIII_item_4,contains
annex_VIII_item_4,annex_VIII,part_of
annex_VIII,annex_VIII_item_5,contains
annex_VIII_item_5,annex_VIII,part_of
annex_IX,annex_IX_item_1,contains
annex_IX_item_1,annex_IX,part_of
annex_IX,annex_IX_item_2,contains
annex_IX_item_2,annex_IX,part_of
annex_IX,annex_IX_item_3,contains
annex_IX_item_3,annex_IX,part_of
annex_IX,annex_IX_item_4,contains
annex_IX_item_4,annex_IX,part_of
annex_IX,annex_IX_item_5,contains
annex_IX_item_5,annex_IX,part_of
annex_X,annex_X_item_1,contains
annex_X_item_1,annex_X,part_of
annex_X,annex_X_item_2,contains
annex_X_item_2,annex_X,part_of
annex_X,annex_X_item_3,contains
annex_X_item_3,annex_X,part_of
annex_X,annex_X_item_4,contains
annex_X_item_4,annex_X,part_of
annex_X,annex_X_item_5,contains
annex_X_item_5,annex_X,part_of
annex_X,annex_X_item_6,contains
annex_X_item_6,annex_X,part_of
annex_X,annex_X_item_7,contains
annex_X_item_7,annex_X,part_of
annex_XI,annex_XI_item_1,contains
annex_XI_item_1,annex_XI,part_of
annex_XI,annex_XI_item_2,contains
annex_XI_item_2,annex_XI,part_of
annex_XI,annex_XI_item_1,contains
annex_XI_item_1,annex_XI,part_of
annex_XI,annex_XI_item_2,contains
annex_XI_item_2,annex_XI,part_of
annex_XI,annex_XI_item_3,contains
annex_XI_item_3,annex_XI,part_of
annex_XII,annex_XII_item_1,contains
annex_XII_item_1,annex_XII,part_of
annex_XII,annex_XII_item_2,contains
annex_XII_item_2,annex_XII,part_of
recital_4,article_16,refers_to
recital_6,article_2,refers_to
recital_6,article_6,refers_to
recital_13,article_4,refers_to
recital_13,article_3,refers_to
recital_18,article_3,refers_to
recital_33,article_2,refers_to
recital_38,article_16,refers_to
recital_38,article_10,refers_to
recital_38,article_8,refers_to
recital_39,article_10,refers_to
recital_39,article_9_para_1,refers_to
recital_39,article_10_para_1,refers_to
recital_40,article_6,refers_to
recital_40,article_5_para_1,refers_to
recital_40,article_5_para_2,refers_to
recital_40,article_26_para_10,refers_to
recital_40,article_16,refers_to
recital_41,article_5_para_1,refers_to
recital_41,article_26_para_10,refers_to
recital_41,article_16,refers_to
recital_48,article_24,refers_to
recital_53,article_4,refers_to
recital_53,article_3,refers_to
recital_54,article_9_para_1,refers_to
recital_62,article_39,refers_to
recital_70,article_9_para_2,refers_to
recital_70,article_10_para_2,refers_to
recital_93,article_13,refers_to
recital_94,article_10,refers_to
recital_121,article_2,refers_to
recital_122,article_54_para_3,refers_to
recital_126,annex_I,refers_to
recital_140,article_6_para_4,refers_to
recital_140,article_9_para_2,refers_to
recital_140,article_10,refers_to
recital_140,article_22_para_2,refers_to
recital_140,article_24_para_2,refers_to
recital_149,article_30,refers_to
recital_149,article_33,refers_to
recital_160,article_9,refers_to
recital_164,article_18,refers_to
recital_176,article_5,refers_to
recital_180,article_42_para_1,refers_to
article_2,article_6_para_1,refers_to
article_2,article_112,refers_to
article_2,article_57,refers_to
article_2,article_10_para_5,refers_to
article_2,article_59,refers_to
article_2,article_5,refers_to
article_2,annex_I,refers_to
article_3,article_2_para_1,refers_to
article_3,article_2,refers_to
article_3,article_9_para_1,refers_to
article_3,article_10,refers_to
article_3,article_10_para_1,refers_to
article_3,article_4,refers_to
article_3,article_57,refers_to
article_5,article_9,refers_to
article_5,article_27,refers_to
article_5,article_49,refers_to
article_5,annex_II,refers_to
article_6,article_49_para_2,refers_to
article_6,article_96,refers_to
article_6,article_97,refers_to
article_6,article_7_para_1,refers_to
article_6,annex_I,refers_to
article_6,annex_III,refers_to
article_7,article_97,refers_to
article_7,annex_III,refers_to
article_8,article_9,refers_to
article_8,annex_I,refers_to
article_9,article_72,refers_to
article_9,article_13,refers_to
article_9,article_60,refers_to
article_11,article_97,refers_to
article_11,annex_IV,refers_to
article_11,annex_I,refers_to
article_12,article_79_para_1,refers_to
article_12,article_72,refers_to
article_12,article_26_para_5,refers_to
article_12,article_14_para_5,refers_to
article_12,annex_III,refers_to
article_13,article_15,refers_to
article_13,article_9_para_2,refers_to
article_13,article_14,refers_to
article_13,article_12,refers_to
article_14,annex_III,refers_to
article_16,article_17,refers_to
article_16,article_18,refers_to
article_16,article_19,refers_to
article_16,article_43,refers_to
article_16,article_47,refers_to
article_16,article_48,refers_to
article_16,article_49_para_1,refers_to
article_16,article_20,refers_to
article_17,article_9,refers_to
article_17,article_72,refers_to
article_17,article_73,refers_to
article_17,article_40,refers_to
article_18,article_11,refers_to
article_18,article_17,refers_to
article_18,article_47,refers_to
article_19,article_12_para_1,refers_to
article_20,article_79_para_1,refers_to
article_20,article_44,refers_to
article_21,article_12_para_1,refers_to
article_21,article_78,refers_to
article_22,article_47,refers_to
article_22,article_11,refers_to
article_22,article_74_para_10,refers_to
article_22,article_12_para_1,refers_to
article_22,article_49_para_1,refers_to
article_22,annex_VIII,refers_to
article_23,article_43,refers_to
article_23,article_11,refers_to
article_23,article_47,refers_to
article_23,article_22_para_1,refers_to
article_23,article_79_para_1,refers_to
article_23,annex_IV,refers_to
article_24,article_47,refers_to
article_24,article_16,refers_to
article_24,article_23_para_3,refers_to
article_24,article_79_para_1,refers_to
article_25,article_16,refers_to
article_25,article_6,refers_to
article_25,annex_I,refers_to
article_26,article_72,refers_to
article_26,article_79_para_1,refers_to
article_26,article_73,refers_to
article_26,article_49,refers_to
article_26,article_71,refers_to
article_26,article_13,refers_to
article_26,article_35,refers_to
article_26,article_27,refers_to
article_26,article_9,refers_to
article_26,article_10,refers_to
article_26,article_50,refers_to
article_26,annex_III,refers_to
article_27,article_6_para_2,refers_to
article_27,article_13,refers_to
article_27,article_46_para_1,refers_to
article_27,article_35,refers_to
article_27,annex_III,refers_to
article_28,article_78,refers_to
article_29,article_31,refers_to
article_30,article_31,refers_to
article_30,article_29_para_2,refers_to
article_30,article_29_para_3,refers_to
article_31,article_78,refers_to
article_31,article_38,refers_to
article_32,article_31,refers_to
article_33,article_31,refers_to
article_34,article_43,refers_to
article_34,article_28,refers_to
article_36,article_30_para_2,refers_to
article_36,article_31,refers_to
article_37,article_31,refers_to
article_37,article_78,refers_to
article_37,article_98_para_2,refers_to
article_39,article_31,refers_to
article_40,article_10,refers_to
article_40,article_24,refers_to
article_40,annex_I,refers_to
article_41,article_10_para_1,refers_to
article_41,article_67,refers_to
article_41,article_98_para_2,refers_to
article_41,article_22,refers_to
article_42,article_10_para_4,refers_to
article_43,article_40,refers_to
article_43,article_41,refers_to
article_43,article_74_para_8,refers_to
article_43,article_31_para_4,refers_to
article_43,article_97,refers_to
article_43,annex_III,refers_to
article_43,annex_VI,refers_to
article_43,annex_VII,refers_to
article_43,annex_I,refers_to
article_43,annex_IV,refers_to
article_44,annex_VII,refers_to
article_44,annex_I,refers_to
article_44,annex_III,refers_to
article_45,article_78,refers_to
article_45,annex_VII,refers_to
article_46,article_43,refers_to
article_46,annex_I,refers_to
article_47,article_97,refers_to
article_47,annex_V,refers_to
article_48,article_30,refers_to
article_48,article_43,refers_to
article_49,article_71,refers_to
article_49,article_6_para_3,refers_to
article_49,article_74_para_8,refers_to
article_49,annex_III,refers_to
article_49,annex_VIII,refers_to
article_49,annex_IX,refers_to
article_50,article_56_para_6,refers_to
article_50,article_98_para_2,refers_to
article_51,article_97,refers_to
article_51,annex_XIII,refers_to
article_52,article_51_para_1,refers_to
article_52,article_90_para_1,refers_to
article_52,article_97,refers_to
article_52,annex_XIII,refers_to
article_53,article_56,refers_to
article_53,article_97,refers_to
article_53,article_97_para_2,refers_to
article_53,article_78,refers_to
article_53,annex_XI,refers_to
article_53,annex_XII,refers_to
article_54,article_53,refers_to
article_54,article_55,refers_to
article_54,annex_XI,refers_to
article_55,article_56,refers_to
article_55,article_78,refers_to
article_56,article_53_para_1,refers_to
article_56,article_98_para_2,refers_to
article_56,article_53,refers_to
article_57,article_78,refers_to
article_57,article_62_para_1,refers_to
article_58,article_98_para_2,refers_to
article_58,article_95,refers_to
article_59,article_35,refers_to
article_59,article_39,refers_to
article_59,annex_IV,refers_to
article_60,article_5,refers_to
article_60,article_98_para_2,refers_to
article_60,article_71_para_4,refers_to
article_60,article_49_para_4,refers_to
article_60,article_49_para_5,refers_to
article_60,article_13,refers_to
article_60,article_61,refers_to
article_60,article_75,refers_to
article_60,article_73,refers_to
article_60,annex_III,refers_to
article_60,annex_I,refers_to
article_60,annex_IX,refers_to
article_61,article_60,refers_to
article_61,article_60_para_4,refers_to
article_62,article_43,refers_to
article_63,article_17,refers_to
article_65,article_66,refers_to
article_65,article_30,refers_to
article_65,article_67,refers_to
article_66,article_74_para_11,refers_to
article_66,article_46,refers_to
article_66,article_112,refers_to
article_66,article_73,refers_to
article_66,article_71,refers_to
article_66,article_7,refers_to
article_66,article_5,refers_to
article_66,annex_I,refers_to
article_66,annex_III,refers_to
article_68,article_98_para_2,refers_to
article_68,article_90,refers_to
article_68,article_74_para_11,refers_to
article_68,article_81,refers_to
article_69,article_68_para_1,refers_to
article_69,article_84,refers_to
article_70,article_78,refers_to
article_71,article_6_para_2,refers_to
article_71,article_6_para_3,refers_to
article_71,article_6_para_4,refers_to
article_71,article_49,refers_to
article_71,article_49_para_3,refers_to
article_71,article_49_para_4,refers_to
article_71,article_60_para_4,refers_to
article_71,annex_III,refers_to
article_71,annex_VIII,refers_to
article_72,article_98_para_2,refers_to
article_72,annex_IV,refers_to
article_72,annex_I,refers_to
article_72,annex_III,refers_to
article_73,article_3,refers_to
article_73,article_77_para_1,refers_to
article_73,article_19,refers_to
article_73,article_20,refers_to
article_73,annex_III,refers_to
article_74,article_2_para_1,refers_to
article_74,article_14,refers_to
article_74,article_14_para_4,refers_to
article_74,article_9,refers_to
article_74,article_78,refers_to
article_74,annex_I,refers_to
article_74,annex_III,refers_to
article_75,article_78,refers_to
article_76,article_58,refers_to
article_76,article_60,refers_to
article_76,article_60_para_4,refers_to
article_77,article_78,refers_to
article_77,annex_III,refers_to
article_78,article_5,refers_to
article_78,article_74_para_8,refers_to
article_78,annex_III,refers_to
article_78,annex_IV,refers_to
article_79,article_3,refers_to
article_79,article_77_para_1,refers_to
article_79,article_18,refers_to
article_79,article_5,refers_to
article_79,article_50,refers_to
article_80,article_6_para_3,refers_to
article_80,article_99,refers_to
article_80,article_79_para_5,refers_to
article_80,article_11,refers_to
article_80,article_71,refers_to
article_80,annex_III,refers_to
article_81,article_79_para_5,refers_to
article_81,article_5,refers_to
article_81,article_11,refers_to
article_82,article_79,refers_to
article_82,article_77_para_1,refers_to
article_83,article_48,refers_to
article_83,article_47,refers_to
article_83,article_71,refers_to
article_86,annex_III,refers_to
article_88,article_94,refers_to
article_88,article_75_para_3,refers_to
article_90,article_51,refers_to
article_91,article_68_para_2,refers_to
article_91,article_101,refers_to
article_92,article_91,refers_to
article_92,article_90_para_1,refers_to
article_92,article_68,refers_to
article_92,article_68_para_2,refers_to
article_92,article_101,refers_to
article_92,article_98_para_2,refers_to
article_93,article_92,refers_to
article_94,article_18,refers_to
article_96,article_25,refers_to
article_96,article_5,refers_to
article_96,article_50,refers_to
article_96,article_3,refers_to
article_96,annex_I,refers_to
article_97,article_6_para_6,refers_to
article_97,article_7_para_1,refers_to
article_97,article_11_para_3,refers_to
article_97,article_43_para_5,refers_to
article_97,article_47_para_5,refers_to
article_97,article_52_para_4,refers_to
article_97,article_53_para_5,refers_to
article_98,article_5,refers_to
article_99,article_96,refers_to
article_99,article_5,refers_to
article_99,article_16,refers_to
article_99,article_22,refers_to
article_99,article_23,refers_to
article_99,article_24,refers_to
article_99,article_26,refers_to
article_99,article_31,refers_to
article_99,article_33_para_1,refers_to
article_99,article_34,refers_to
article_99,article_50,refers_to
article_100,article_5,refers_to
article_101,article_91,refers_to
article_101,article_93,refers_to
article_101,article_92,refers_to
article_101,article_93_para_3,refers_to
article_101,article_56,refers_to
article_101,article_98_para_2,refers_to
article_105,article_8,refers_to
article_106,article_5,refers_to
article_107,article_5,refers_to
article_108,article_17,refers_to
article_108,article_19,refers_to
article_108,article_43,refers_to
article_108,article_47,refers_to
article_108,article_57,refers_to
article_108,article_58,refers_to
article_109,article_11,refers_to
article_110,annex_I,refers_to
article_111,article_5,refers_to
article_111,annex_X,refers_to
article_112,article_5,refers_to
article_112,article_97,refers_to
article_112,article_50,refers_to
article_112,article_99_para_1,refers_to
article_112,annex_III,refers_to
article_112,annex_I,refers_to
article_113,article_78,refers_to
article_113,article_101,refers_to
article_113,article_6_para_1,refers_to
article_2_para_2,article_6_para_1,refers_to
article_2_para_2,article_112,refers_to
article_2_para_2,article_57,refers_to
article_2_para_2,annex_I,refers_to
article_2_para_7,article_10_para_5,refers_to
article_2_para_7,article_59,refers_to
article_2_para_12,article_5,refers_to
article_5_para_1,article_9,refers_to
article_5_para_1,annex_II,refers_to
article_5_para_2,article_27,refers_to
article_5_para_2,article_49,refers_to
article_6_para_1,annex_I,refers_to
article_6_para_2,annex_III,refers_to
article_6_para_3,annex_III,refers_to
article_6_para_4,article_49_para_2,refers_to
article_6_para_4,annex_III,refers_to
article_6_para_5,article_96,refers_to
article_6_para_6,article_97,refers_to
article_6_para_6,annex_III,refers_to
article_6_para_7,article_97,refers_to
article_6_para_8,article_7_para_1,refers_to
article_7_para_1,article_97,refers_to
article_7_para_1,annex_III,refers_to
article_7_para_3,article_97,refers_to
article_7_para_3,annex_III,refers_to
article_8_para_1,article_9,refers_to
article_8_para_2,annex_I,refers_to
article_9_para_2,article_72,refers_to
article_9_para_5,article_13,refers_to
article_9_para_7,article_60,refers_to
article_11_para_1,annex_IV,refers_to
article_11_para_2,annex_I,refers_to
article_11_para_3,article_97,refers_to
article_11_para_3,annex_IV,refers_to
article_12_para_2,article_79_para_1,refers_to
article_12_para_2,article_72,refers_to
article_12_para_2,article_26_para_5,refers_to
article_12_para_3,article_14_para_5,refers_to
article_12_para_3,annex_III,refers_to
article_13_para_3,article_15,refers_to
article_13_para_3,article_9_para_2,refers_to
article_13_para_3,article_14,refers_to
article_13_para_3,article_12,refers_to
article_14_para_5,annex_III,refers_to
article_17_para_1,article_9,refers_to
article_17_para_1,article_72,refers_to
article_17_para_1,article_73,refers_to
article_17_para_4,article_40,refers_to
article_18_para_1,article_11,refers_to
article_18_para_1,article_17,refers_to
article_18_para_1,article_47,refers_to
article_19_para_1,article_12_para_1,refers_to
article_20_para_2,article_79_para_1,refers_to
article_20_para_2,article_44,refers_to
article_21_para_2,article_12_para_1,refers_to
article_21_para_3,article_78,refers_to
article_22_para_3,article_47,refers_to
article_22_para_3,article_11,refers_to
article_22_para_3,article_74_para_10,refers_to
article_22_para_3,article_12_para_1,refers_to
article_22_para_3,article_49_para_1,refers_to
article_22_para_3,annex_VIII,refers_to
article_23_para_1,article_43,refers_to
article_23_para_1,article_11,refers_to
article_23_para_1,article_47,refers_to
article_23_para_1,article_22_para_1,refers_to
article_23_para_1,annex_IV,refers_to
article_23_para_2,article_79_para_1,refers_to
article_23_para_5,article_47,refers_to
article_24_para_1,article_47,refers_to
article_24_para_1,article_16,refers_to
article_24_para_1,article_23_para_3,refers_to
article_24_para_2,article_79_para_1,refers_to
article_24_para_4,article_79_para_1,refers_to
article_25_para_1,article_16,refers_to
article_25_para_1,article_6,refers_to
article_25_para_3,article_16,refers_to
article_25_para_3,annex_I,refers_to
article_26_para_5,article_72,refers_to
